,Name,Description,URL,Papers,Discipline,Underlying Approach,Cost,Supports,Highest Citation Count,Website status
0,BADERI,"BADERI is an internet-based platform to coordinate handsearching activities to identify controlled clinical trials for their potential inclusion in systematic reviews.  Access is free, but a login and password must be requested.",http://www.baderi.com/login.php,"{'BADERI: an online database to coordinate handsearching activities of controlled clinical trials for their potential inclusion in systematic reviews': {'url': 'https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-017-2023-3', 'ss_id': 'b5cf5a92f677cf7814df02a8a87468415fc8a4bf', 'citation_count': 6}}",['Healthcare'],"['Search Tool', 'Reference Management']",['Completely Free'],"['Automated Search', 'Report Write Up', 'Collaboration', 'Document Management']",6.0,200
1,JBI-SUMARI,{'http://joannabriggs.org/education/short-courses': 'http://joannabriggs.org/education/short-courses'},https://www.jbisumari.org/,"{'The development of software to support multiple systematic review types: the Joanna Briggs Institute System for the Unified Management, Assessment and Review of Information (JBI SUMARI)': {'url': 'https://journals.lww.com/ijebh/Abstract/2019/03000/The_development_of_software_to_support_multiple.5.aspx', 'ss_id': '3279ee93af2b8ea41bbfc9840b0f4d99bdc7fd75', 'citation_count': 85}}","['Healthcare', 'Social Science']",['Whole Process'],['Free Version Available'],"['Protocol Development', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Automated Analysis', 'Meta Analysis', 'Report Write Up', 'Document Management']",85.0,200
2,RIS Export,Tool that converts search results files into RIS files for ease of importing into reference management software.,http://eppi.ioe.ac.uk/cms/Default.aspx?tabid=2934,{},['Multidiscipline'],"['Search Tool', 'Reference Management']",['Completely Free'],['Document Management'],,200
3,Colandr,"Colandr is an open access, machine-learning assisted tool for conducting evidence synthesis. This tool uses machine learning, natural language processing, and text-mining functions to partially automate finding relevant citations and extract desired data from PDF articles.",https://www.colandrapp.com/,{},['Multidiscipline'],"['Text Mining', 'Machine Learning']",['Completely Free'],"['Automated Search', 'Study Selection', 'Data Extraction']",,200
4,Bibus,Bibliographic and reference management software.,http://bibus-biblio.sourceforge.net/wiki/index.php/Main_Page,{},['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']",['Document Management'],,200
5,ParsCit,"An open source CRF reference string parsing package that can be used to assist with the search process; notably, snowballing.",https://github.com/knmnyn/parscit,"{'ParsCit: An open-source CRF reference string parsing package': {'url': ' http://www.lrec-conf.org/proceedings/lrec2008/pdf/166_paper.pdf#:~:text=We%20describe%20ParsCit%2C%20a%20freely%20available%2C%20open-source%20implementation,it%20compares%20well%20with%20other%20previously%20published%20work.', 'ss_id': 'beb6475b664ae1d63157738329388f32b5e5169f', 'citation_count': 343}, 'Automatic Evidence Retrieval for Systematic Reviews': {'url': 'http://www.jmir.org/2014/10/e223/', 'ss_id': '08d6530403283347742c9e89bd20093b78d2ac6c', 'citation_count': 31}, 'Extracting and matching authors and affiliations in scholarly documents': {'url': 'https://dl.acm.org/doi/10.1145/2467696.2467703', 'ss_id': '3502c39f713c3f6467d1397150fef5c6d70bf9e8', 'citation_count': 32}}",['Multidiscipline'],['Search Tool'],"['Completely Free', 'Free Version Available']","['Automated Search', 'Text Analysis']",343.0,200
6,Plot Digitizer,Java program used to digitize scanned plots of functional data. ,http://plotdigitizer.sourceforge.net/,"{'Extracting data from figures with software was faster, with higher inter-rater reliability than manual extraction': {'url': 'http://www.jclinepi.com/article/S0895-4356(16)00010-X/pdf', 'ss_id': '67b919340ac5d15a91c30b8008f2f7fd1307fe75', 'citation_count': 79}}",['Multidiscipline'],"['Visualization', 'Other']",['Completely Free'],['Data Extraction'],79.0,200
7,Rayyan,"Web based, collaborative application to support undertaking systematic reviews. Also includes a mobile app for screening studies on the go.",http://rayyan.qcri.org/,"{'Can abstract screening workload be reduced using text mining? User experiences of the tool Rayyan': {'url': 'http://onlinelibrary.wiley.com/doi/10.1002/jrsm.1237/full', 'ss_id': 'b3088ef4e912b1801bd501ea6c9a3f990902eb6d', 'citation_count': 21}, 'Rayyan—a web and mobile app for systematic reviews': {'url': 'https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-016-0384-4', 'ss_id': '1227f2fefc26f204d2ce07b005aedd7d74e6e72a', 'citation_count': 2277}}",['Multidiscipline'],"['Visualization', 'Text Mining', 'Machine Learning']","['Completely Free', 'Free Version Available']","['Study Selection', 'Quality Assessment', 'Data Extraction', 'Collaboration', 'Document Management']",2277.0,200
8,EROS: Early Review Organizing System,"Web-based software designed to assist with the initial phases of a systematic review: reference management, screening, and quality assessment.
",http://www.eros-systematic-review.org/,{},['Healthcare'],['Reference Management'],['Completely Free'],"['Study Selection', 'Quality Assessment', 'Document Management']",,403
9,2dSearch,"2dSearch offers a new approach to search strategy development in which concepts are expressed as objects on a two-dimensional canvas and relationships are expressed using direct manipulation. Interactive query suggestions are provided using machine learning techniques combined with ontology lookup. This approach eliminates many sources of syntactic error, makes the query semantics more transparent, and offers new ways to validate, debug and share search strategies and best practices.",https://www.2dsearch.com/,{},['Multidiscipline'],"['Visualization', 'Text Mining', 'Ontology', 'Search Tool', 'Machine Learning']","['Completely Free', 'Free Version Available', 'Free Trial']","['Protocol Development', 'Automated Search', 'Text Analysis', 'Collaboration']",,200
